DPTOMPIO,DPTO_CCDGO,MPIO_CCDGO,MPIO_CNMBR,MPIO_CCNCT,BANDERA,SUBREGION,AVG_PUNT_GLOBAL,AVG_PUNT_GLOBAL_20194,AVG_PUNT_GLOBAL_20224
05001,05,001,MEDELLÍN,05001,https://upload.wikimedia.org/wikipedia/commons/e/e7/Flag_of_Medell%C3%ADn.svg,Valle de Aburrá,250,250,251
05002,05,002,ABEJORRAL,05002,https://upload.wikimedia.org/wikipedia/commons/3/38/Flag_of_Abejorral.svg,Oriente,245,235,255
05004,05,004,ABRIAQUÍ,05004,https://upload.wikimedia.org/wikipedia/commons/0/0f/Flag_of_Abriaqu%C3%AD.svg,Occidente,235,236,234
05021,05,021,ALEJANDRÍA,05021,https://upload.wikimedia.org/wikipedia/commons/f/ff/Flag_of_Alejandr%C3%ADa%2C_Antioquia.svg,Oriente,229,231,228
05030,05,030,AMAGÁ,05030,https://upload.wikimedia.org/wikipedia/commons/c/cc/Flag_of_Amag%C3%A1.svg,Suroeste,231,229,234
05031,05,031,AMALFI,05031,https://upload.wikimedia.org/wikipedia/commons/c/c1/Flag_of_Amalfi_%28Antioquia%29.svg,Nordeste,231,229,233
05034,05,034,ANDES,05034,https://upload.wikimedia.org/wikipedia/commons/b/b5/Flag_of_Andes_%28Antioquia%29.svg,Suroeste,245,239,251
05036,05,036,ANGELÓPOLIS,05036,https://upload.wikimedia.org/wikipedia/commons/8/83/Flag_of_Angel%C3%B3polis_%28Antioquia%29.svg,Suroeste,211,214,209
05038,05,038,ANGOSTURA,05038,https://upload.wikimedia.org/wikipedia/commons/3/30/Flag_of_Angostura_%28Antioquia%29.svg,Norte,207,210,204
05040,05,040,ANORÍ,05040,https://upload.wikimedia.org/wikipedia/commons/b/b3/Flag_of_Anor%C3%AD_%28Antioquia%29.svg,Nordeste,197,203,194
05042,05,042,SANTA FÉ DE ANTIOQUIA,05042,https://upload.wikimedia.org/wikipedia/commons/6/6d/Flag_of_Santa_Fe_de_Antioquia.svg,Occidente,230,230,230
05044,05,044,ANZÁ,05044,https://upload.wikimedia.org/wikipedia/commons/c/c2/Flag_of_Anz%C3%A1.svg,Occidente,224,226,221
05045,05,045,APARTADÓ,05045,https://upload.wikimedia.org/wikipedia/commons/8/8c/Flag_of_Apartad%C3%B3.svg,Urabá,233,229,237
05051,05,051,ARBOLETES,05051,https://upload.wikimedia.org/wikipedia/commons/a/ac/Flag_of_Arboletes.svg,Urabá,214,214,214
05055,05,055,ARGELIA,05055,https://upload.wikimedia.org/wikipedia/commons/e/e9/Flag_of_Argelia_de_Mar%C3%ADa.svg,Oriente,219,213,226
05059,05,059,ARMENIA,05059,https://upload.wikimedia.org/wikipedia/commons/8/87/Flag_of_Armenia_%28Antioquia%29.svg,Occidente,252,253,251
05079,05,079,BARBOSA,05079,https://upload.wikimedia.org/wikipedia/commons/0/04/Flag_of_Barbosa_%28Antioquia%29.svg,Valle de Aburrá,235,235,235
05086,05,086,BELMIRA,05086,https://upload.wikimedia.org/wikipedia/commons/c/c0/Flag_of_Belmira_%28Antioquia%29.svg,Norte,223,218,228
05088,05,088,BELLO,05088,https://upload.wikimedia.org/wikipedia/commons/3/34/Flag_of_Bello.svg,Valle de Aburrá,248,243,252
05091,05,091,BETANIA,05091,https://upload.wikimedia.org/wikipedia/commons/9/92/Flag_of_Betania.svg,Suroeste,228,230,225
05093,05,093,BETULIA,05093,https://upload.wikimedia.org/wikipedia/commons/8/85/Flag_of_Betulia_%28Antioquia%29.svg,Suroeste,210,208,213
05101,05,101,CIUDAD BOLÍVAR,05101,https://upload.wikimedia.org/wikipedia/commons/3/3c/Flag_of_Ciudad_Bol%C3%ADvar_%28Antioquia%29.svg,Suroeste,236,231,244
05107,05,107,BRICEÑO,05107,https://upload.wikimedia.org/wikipedia/commons/6/67/Flag_of_Brice%C3%B1o_%28Antioquia%29.svg,Norte,223,222,224
05113,05,113,BURITICÁ,05113,https://upload.wikimedia.org/wikipedia/commons/7/7b/Flag_of_Buritic%C3%A1.svg,Occidente,220,217,223
05120,05,120,CÁCERES,05120,https://upload.wikimedia.org/wikipedia/commons/5/57/Flag_of_C%C3%A1ceres_%28Antioquia%29.svg,Bajo Cauca,215,218,212
