AÑO,COLE_COD_MCPIO_UBICACION,PUNT_LECTURA_CRITICA,PUNT_MATEMATICAS,PUNT_C_NATURALES,PUNT_SOCIALES_CIUDADANAS,PUNT_INGLES,PUNT_GLOBAL,COLE_MCPIO_UBICACION
2015,05001,50,50,49,50,51,252,MEDELLÍN
2015,05002,49,49,50,50,49,249,ABEJORRAL
2015,05004,45,43,44,45,46,223,ABRIAQUÍ
2015,05021,49,46,48,49,45,240,ALEJANDRÍA
2015,05030,46,45,45,46,46,230,AMAGÁ
2015,05031,47,46,45,47,46,233,AMALFI
2015,05034,49,48,47,49,46,243,ANDES
2015,05036,49,47,45,48,45,237,ANGELÓPOLIS
2015,05038,45,44,44,45,45,225,ANGOSTURA
2015,05040,45,42,43,43,44,218,ANORÍ
2015,05042,46,44,43,44,45,225,SANTA FÉ DE ANTIOQUIA
2015,05044,45,44,45,44,47,226,ANZÁ
2015,05045,48,48,47,48,48,240,APARTADÓ
2015,05051,44,44,44,43,46,221,ARBOLETES
2015,05055,45,43,44,45,43,221,ARGELIA
2015,05059,49,51,50,50,47,251,ARMENIA
2015,05079,48,47,46,47,48,238,BARBOSA
2015,05086,45,45,43,45,44,224,BELMIRA
2015,05088,50,49,48,49,49,247,BELLO
2015,05091,45,46,44,45,48,228,BETANIA
2015,05093,45,44,44,44,45,223,BETULIA
2015,05101,50,50,48,49,48,248,CIUDAD BOLÍVAR
2015,05107,43,44,44,43,43,218,BRICEÑO
2015,05113,45,44,44,45,45,223,BURITICÁ
2015,05120,46,45,45,46,45,229,CÁCERES
2015,05125,45,44,45,46,45,225,CAICEDO
2015,05129,50,51,50,50,50,253,CALDAS
2015,05134,50,48,49,50,46,247,CAMPAMENTO
2015,05138,44,42,42,43,43,216,CAÑASGORDAS
2015,05142,45,43,43,43,44,221,CARACOLÍ
2015,05145,49,48,47,49,45,242,CARAMANTA
2015,05147,48,48,47,48,47,240,CAREPA
2015,05148,52,53,51,52,51,261,EL CARMEN DE VIBORAL
2015,05150,48,49,50,51,47,248,CAROLINA
2015,05154,47,47,46,47,46,237,CAUCASIA
2015,05172,46,45,45,45,46,230,CHIGORODÓ
2015,05190,45,43,43,43,45,220,CISNEROS
2015,05197,48,49,49,47,48,243,COCORNÁ
2015,05206,44,43,44,44,43,220,CONCEPCIÓN
2015,05209,47,48,48,47,47,240,CONCORDIA
2015,05212,52,54,52,53,53,266,COPACABANA
2015,05234,45,44,44,44,44,222,DABEIBA
2015,05237,49,48,47,49,49,242,DONMATÍAS
2015,05240,47,46,45,47,46,233,EBÉJICO
2015,05250,45,43,42,43,44,218,EL BAGRE
2015,05264,54,57,55,56,54,279,ENTRERRÍOS
2015,05266,54,57,54,55,60,280,ENVIGADO
2015,05282,47,45,45,46,46,232,FREDONIA
2015,05284,48,46,45,47,46,234,FRONTINO
2015,05306,48,48,47,48,46,240,GIRALDO
2015,05308,51,52,50,51,52,257,GIRARDOTA
2015,05310,49,51,48,48,48,248,GÓMEZ PLATA
2015,05313,51,53,52,52,49,261,GRANADA
2015,05315,45,46,45,45,45,228,GUADALUPE
